"VernacularNameCategory","N","MinDepth","MedianDepth","MaxDepth","ScientificNames","geometry"
"sponge",11,3753,3806,3843,"Porifera",c(-69.30833, -69.31167, -69.43667, -68.53333, -66.78333, 37.98333, 38.01333, 37.98667, 38.55, 39.61667)
"gorgonian coral",1,3855,3855,3855,"Paranarella watlingi",c(-66.24901, 39.75124)
"sea pen",1,3920,3920,3920,"Umbellula",c(-70.4647, 37.7697)
