"VernacularNameCategory","N","MinDepth","MedianDepth","MaxDepth","ScientificNames","geometry"
"soft coral",1,3506,3506,3506,"Gersemia fruticosa",c(-70.9583, 37.9389)
"sea pen",4,3718,3718,3718,"Kophobelemnon stelliferum / Scleroptilum grandiflorum / Umbellula lindahli / Umbellula guentheri",c(-69.1403, 38.5083)
